"Date","Price","Open","High","Low","Change %"
"02/28/2014","10.460","10.460","10.460","10.460","0.00%"
"02/27/2014","10.460","10.460","10.460","10.460","2.84%"
"02/26/2014","10.171","10.171","10.171","10.171","0.00%"
"02/25/2014","10.171","10.171","10.171","10.171","0.00%"
"02/24/2014","10.171","10.171","10.171","10.171","0.00%"
"02/23/2014","10.171","10.171","10.171","10.171","0.00%"
"02/21/2014","10.171","10.171","10.171","10.171","0.00%"
"02/20/2014","10.171","10.171","10.171","10.171","0.00%"
"02/19/2014","10.171","10.171","10.171","10.171","0.00%"
"02/18/2014","10.171","10.171","10.171","10.171","0.00%"
"02/17/2014","10.171","10.171","10.171","10.171","0.00%"
"02/16/2014","10.171","10.171","10.171","10.171","0.00%"
"02/14/2014","10.171","10.171","10.171","10.171","0.00%"
"02/13/2014","10.171","10.171","10.171","10.171","-0.89%"
"02/12/2014","10.262","10.262","10.262","10.262","1.74%"
"02/11/2014","10.086","10.086","10.086","10.086","0.00%"
"02/10/2014","10.086","10.086","10.086","10.086","0.00%"
"02/09/2014","10.086","10.086","10.086","10.086","0.00%"
"02/07/2014","10.086","10.086","10.086","10.086","0.00%"
"02/06/2014","10.086","10.086","10.086","10.086","-3.11%"
"02/05/2014","10.410","10.410","10.410","10.410","3.21%"
"02/04/2014","10.086","10.086","10.086","10.086","-3.11%"
"02/03/2014","10.410","10.410","10.410","10.410","3.71%"
"02/02/2014","10.038","10.038","10.038","10.038","0.00%"
"01/31/2014","10.038","10.038","10.038","10.038","0.00%"
"01/30/2014","10.038","10.038","10.038","10.038","-1.49%"
"01/29/2014","10.190","10.190","10.190","10.190","1.51%"
"01/28/2014","10.038","10.038","10.038","10.038","-4.31%"
"01/27/2014","10.490","10.490","10.490","10.490","0.00%"
"01/26/2014","10.490","10.490","10.490","10.490","0.00%"
"01/24/2014","10.490","10.490","10.490","10.490","4.90%"
"01/23/2014","10.000","10.000","10.000","10.000","-4.67%"
"01/22/2014","10.490","10.490","10.490","10.490","0.00%"
"01/21/2014","10.490","10.490","10.490","10.490","0.00%"
"01/20/2014","10.490","10.490","10.490","10.490","0.00%"
"01/19/2014","10.490","10.490","10.490","10.490","0.00%"
"01/17/2014","10.490","10.490","10.490","10.490","0.00%"
"01/16/2014","10.490","10.490","10.490","10.490","0.00%"
"01/15/2014","10.490","10.490","10.490","10.490","0.00%"
"01/14/2014","10.490","10.490","10.490","10.490","0.00%"
"01/13/2014","10.490","10.490","10.490","10.490","0.00%"
"01/12/2014","10.490","10.490","10.490","10.490","0.00%"
"01/10/2014","10.490","10.490","10.490","10.490","0.87%"
"01/09/2014","10.400","10.400","10.400","10.400","0.00%"
"01/08/2014","10.400","10.400","10.400","10.400","1.27%"
"01/07/2014","10.270","10.354","10.354","10.270","0.00%"
"01/06/2014","10.270","10.270","10.270","10.270","-0.81%"
"01/05/2014","10.354","10.354","10.354","10.354","0.00%"
"01/03/2014","10.354","10.354","10.354","10.354","0.51%"
"01/02/2014","10.301","10.301","10.301","10.301","0.00%"
"01/01/2014","10.301","10.301","10.301","10.301","0.00%"
"12/31/2013","10.301","10.301","10.301","10.301","0.00%"
"12/30/2013","10.301","10.301","10.301","10.301","0.00%"
"12/29/2013","10.301","10.301","10.301","10.301","0.00%"
"12/27/2013","10.301","10.301","10.301","10.301","0.00%"
"12/26/2013","10.301","10.301","10.301","10.301","-0.95%"
"12/25/2013","10.400","10.400","10.400","10.400","0.96%"
"12/24/2013","10.301","10.301","10.301","10.301","0.00%"
"12/23/2013","10.301","10.301","10.301","10.301","-6.01%"
"12/22/2013","10.960","10.960","10.960","10.960","0.00%"
"12/20/2013","10.960","10.960","10.960","10.960","0.00%"
"12/19/2013","10.960","10.960","10.960","10.960","0.00%"
"12/18/2013","10.960","10.960","10.960","10.960","0.00%"
"12/17/2013","10.960","10.960","10.960","10.960","5.69%"
"12/16/2013","10.370","10.370","10.370","10.370","1.77%"
"12/15/2013","10.190","10.950","10.950","10.190","-6.94%"
"12/14/2013","10.950","10.950","10.950","10.950","7.46%"
"12/13/2013","10.190","10.190","10.190","10.190","0.00%"
"12/12/2013","10.190","10.190","10.190","10.190","-0.47%"
"12/11/2013","10.238","10.238","10.238","10.238","0.08%"
"12/10/2013","10.230","10.230","10.230","10.230","0.00%"
"12/09/2013","10.230","10.230","10.230","10.230","-0.68%"
"12/08/2013","10.300","10.560","10.950","10.300","-2.46%"
"12/07/2013","10.560","10.560","10.950","10.560","0.00%"
"12/06/2013","10.560","10.560","10.560","10.560","0.00%"
"12/05/2013","10.560","10.560","10.560","10.560","0.00%"
"12/04/2013","10.560","10.560","10.560","10.560","0.00%"
"12/03/2013","10.560","10.560","10.560","10.560","-0.38%"
"12/02/2013","10.600","10.600","10.600","10.600","0.00%"
"12/01/2013","10.600","10.640","10.950","10.600","-0.38%"
"11/30/2013","10.640","10.640","10.950","10.640","0.00%"
"11/29/2013","10.640","10.640","10.640","10.640","0.38%"
"11/28/2013","10.600","10.600","10.600","10.600","-0.84%"
"11/27/2013","10.690","10.690","10.690","10.690","0.00%"
"11/26/2013","10.690","10.690","10.690","10.690","0.85%"
"11/25/2013","10.600","10.600","10.600","10.600","0.00%"
"11/24/2013","10.600","10.630","10.630","10.600","-0.28%"
"11/23/2013","10.630","10.630","10.630","10.630","0.00%"
"11/22/2013","10.630","10.630","10.630","10.630","0.00%"
"11/21/2013","10.630","10.630","10.630","10.630","-2.25%"
"11/20/2013","10.875","10.875","10.875","10.875","-0.68%"
"11/19/2013","10.950","10.950","10.950","10.950","0.00%"
"11/18/2013","10.950","10.950","10.950","10.950","0.00%"
"11/17/2013","10.950","10.950","10.950","10.950","0.00%"
"11/16/2013","10.950","10.950","10.950","10.950","0.00%"
"11/15/2013","10.950","10.950","10.950","10.950","0.00%"
"11/14/2013","10.950","10.950","10.950","10.950","0.00%"
"11/13/2013","10.950","10.950","10.950","10.950","0.00%"
"11/12/2013","10.950","10.950","10.950","10.950","0.00%"
"11/11/2013","10.950","10.950","10.950","10.950","0.00%"
