"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2016","1,279.74","1,256.09","1,279.90","1,255.77","","1.88%"
"08/09/2016","1,256.09","1,275.53","1,275.53","1,254.70","","-1.52%"
"08/08/2016","1,275.53","1,264.04","1,282.48","1,264.04","","0.91%"
"08/07/2016","1,264.04","1,270.42","1,270.42","1,255.55","","-0.50%"
"08/04/2016","1,270.42","1,253.53","1,273.41","1,253.52","","1.35%"
"08/03/2016","1,253.53","1,230.64","1,253.70","1,230.64","","1.86%"
"08/02/2016","1,230.64","1,215.61","1,233.53","1,215.61","","1.24%"
"08/01/2016","1,215.61","1,225.81","1,228.92","1,211.29","","-0.83%"
"07/31/2016","1,225.81","1,245.80","1,245.80","1,225.78","","-1.60%"
"07/28/2016","1,245.80","1,254.33","1,254.33","1,243.98","","-0.68%"
"07/27/2016","1,254.33","1,193.01","1,258.03","1,193.01","","5.14%"
"07/26/2016","1,193.01","1,189.53","1,207.94","1,189.53","","0.29%"
"07/25/2016","1,189.53","1,182.19","1,189.53","1,176.75","","0.62%"
"07/24/2016","1,182.19","1,177.62","1,188.97","1,177.62","","0.39%"
"07/21/2016","1,177.62","1,188.04","1,188.04","1,174.40","","-0.88%"
"07/20/2016","1,188.04","1,212.64","1,214.21","1,188.04","","-2.03%"
"07/19/2016","1,212.64","1,216.01","1,216.01","1,201.93","","-0.28%"
"07/18/2016","1,216.01","1,212.57","1,236.52","1,212.57","","0.28%"
"07/17/2016","1,212.57","1,209.88","1,212.57","1,201.04","","0.22%"
"07/14/2016","1,209.88","1,202.13","1,211.67","1,196.31","","0.64%"
"07/13/2016","1,202.13","1,169.85","1,205.05","1,169.85","","2.76%"
"07/12/2016","1,169.85","1,172.30","1,172.30","1,143.80","","-0.21%"
"07/11/2016","1,172.30","1,191.65","1,219.75","1,172.30","","-1.62%"
"07/10/2016","1,191.65","1,122.55","1,191.65","1,122.55","","6.16%"
"07/04/2016","1,122.55","1,068.46","1,122.55","1,068.46","","5.06%"
"07/03/2016","1,068.46","1,052.70","1,068.46","1,052.70","","1.50%"
"06/29/2016","1,052.70","1,052.44","1,061.51","1,052.44","","0.02%"
"06/28/2016","1,052.44","1,046.18","1,054.89","1,044.44","","0.60%"
"06/27/2016","1,046.18","1,041.26","1,056.80","1,041.26","","0.47%"
"06/26/2016","1,041.26","1,119.05","1,119.05","1,033.93","","-6.95%"
"06/23/2016","1,119.05","1,100.27","1,119.05","1,099.93","","1.71%"
"06/22/2016","1,100.27","1,121.65","1,121.65","1,100.18","","-1.91%"
"06/21/2016","1,121.65","1,127.04","1,148.96","1,121.65","","-0.48%"
"06/20/2016","1,127.04","1,157.69","1,157.69","1,119.65","","-2.65%"
"06/19/2016","1,157.69","1,185.13","1,191.66","1,157.69","","-2.32%"
"06/16/2016","1,185.13","1,179.37","1,189.29","1,177.86","","0.49%"
"06/15/2016","1,179.37","1,200.34","1,200.34","1,178.36","","-1.75%"
"06/14/2016","1,200.34","1,224.58","1,224.61","1,200.34","","-1.98%"
"06/13/2016","1,224.58","1,232.75","1,241.38","1,224.58","","-0.66%"
"06/12/2016","1,232.75","1,246.46","1,246.46","1,228.96","","-1.10%"
"06/09/2016","1,246.46","1,256.17","1,256.19","1,245.14","","-0.77%"
"06/08/2016","1,256.17","1,235.10","1,263.87","1,235.10","","1.71%"
"06/07/2016","1,235.10","1,218.17","1,235.10","1,217.17","","1.39%"
"06/06/2016","1,218.17","1,214.31","1,223.66","1,214.31","","0.32%"
"06/05/2016","1,214.31","1,220.03","1,223.77","1,214.31","","-0.47%"
"06/02/2016","1,220.03","1,204.95","1,223.20","1,204.28","","1.25%"
"06/01/2016","1,204.95","1,192.25","1,204.95","1,191.54","","1.07%"
